CET,MeanTemperatureC,MeanDewPointC, MeanHumidity, MeanSeaLevelPressure, MeanWindSpeed,Precipitation, Events,WindDir
1/1/2006,8,0,56,1020,19,0,,277
1/2/2006,6,0,69,1025,6,0,,348
1/3/2006,7,0,61,1026,18,0,,5
1/4/2006,4,-1,69,1021,8,0,,14
1/5/2006,5,1,76,1014,5,0,,159
1/6/2006,4,3,92,1009,8,0,Rain,19
1/7/2006,6,4,90,1012,10,0,Rain,346
1/8/2006,7,4,84,1017,6,0,Rain,348
1/9/2006,6,4,84,1023,5,0,Rain,209
1/10/2006,4,2,77,1025,13,0,,26
1/11/2006,7,3,78,1030,3,0,,31
1/12/2006,4,1,83,1028,5,0,,343
1/13/2006,4,1,84,1025,5,0,,188
1/14/2006,3,2,85,1024,5,0,,24
1/15/2006,6,3,84,1020,6,0,Rain,215
1/16/2006,3,2,90,1016,5,0,Rain,28
1/17/2006,7,3,79,1021,6,0,,266
1/18/2006,7,3,81,1022,5,0,,350
1/19/2006,8,3,77,1020,6,0,,353
1/20/2006,6,3,87,1025,5,0,Fog,108
1/21/2006,4,3,88,1026,5,0,Fog,19
1/22/2006,6,2,81,1024,6,0,,357
1/23/2006,6,1,75,1026,6,0,,338
1/24/2006,2,-1,80,1025,8,0,,1
1/25/2006,3,-1,73,1020,6,0,,29
1/26/2006,3,-2,76,1011,6,0,,347
1/27/2006,2,-6,59,1009,13,0,,19
1/28/2006,0,-8,57,1009,13,0,,22
1/29/2006,-2,-6,73,1010,6,0,Snow,22
1/30/2006,-2,-4,83,1016,5,0,,354
1/31/2006,3,-1,74,1021,5,0,,360
2/1/2006,6,1,77,1022,5,0,,356
2/2/2006,6,1,77,1017,5,0,,332
2/3/2006,7,2,76,1012,6,0,,327
2/4/2006,5,-2,67,1015,8,0,,360
2/5/2006,3,-6,56,1020,8,0,,359
2/6/2006,4,-5,56,1024,6,0,,316
2/7/2006,4,-4,61,1024,5,0,,329
2/8/2006,6,-3,63,1019,5,0,,335
2/9/2006,6,-3,62,1017,5,0,,355
2/10/2006,6,-2,63,1016,5,0,,347
2/11/2006,9,-1,60,1018,5,0,,319
2/12/2006,8,1,65,1022,5,0,,352
2/13/2006,7,-2,60,1022,5,0,,198
2/14/2006,7,1,66,1021,5,0,,298
2/15/2006,7,2,77,1021,6,0,Fog,229
2/16/2006,9,6,77,1013,19,0,,224
2/17/2006,7,2,65,1013,19,0,,225
2/18/2006,9,4,74,1011,27,0,Rain,214
2/19/2006,7,2,72,1007,29,0,Rain-Thunderstorm,237
2/20/2006,6,0,70,1009,16,0,,239
2/21/2006,6,-1,64,1008,11,0,,295
2/22/2006,3,-2,64,1012,8,0,,24
2/23/2006,3,-1,80,1015,11,0,Rain-Snow,15
2/24/2006,3,-3,64,1010,6,0,Fog,231
2/25/2006,3,0,83,1007,13,0,Rain-Snow,183
2/26/2006,3,0,81,1000,14,0,Rain-Snow,298
2/27/2006,6,-1,62,1011,13,0,,338
2/28/2006,4,-5,56,1013,6,0,,5
3/1/2006,4,-4,59,1012,10,0,,357
3/2/2006,4,-3,60,1015,6,0,,248
3/3/2006,6,2,73,1016,16,0,,230
3/4/2006,9,7,86,1008,21,0,Rain,194
3/5/2006,4,-2,62,1011,29,0,Rain,329
3/6/2006,4,-3,57,1025,6,0,,328
3/7/2006,7,2,69,1027,6,0,,261
3/8/2006,11,6,64,1024,10,0,,208
3/9/2006,10,6,70,1020,10,0,Fog,236
3/10/2006,8,-1,54,1024,13,0,,269
3/11/2006,13,3,53,1022,24,0,,283
3/12/2006,13,4,57,1023,11,0,,3
3/13/2006,12,1,55,1017,5,0,,336
3/14/2006,12,-1,47,1016,3,0,,348
3/15/2006,12,1,51,1014,6,0,,300
3/16/2006,11,3,58,1012,6,0,,221
3/17/2006,11,7,79,1008,8,0,Rain,153
3/18/2006,12,8,84,1002,16,0,Rain,161
3/19/2006,10,6,75,1004,18,0,Rain,190
3/20/2006,9,6,79,1007,11,0,Rain,179
3/21/2006,11,6,73,1007,11,0,Rain,221
3/22/2006,10,3,63,1012,14,0,,247
3/23/2006,11,7,77,1012,23,0,Rain,211
3/24/2006,13,8,72,1011,26,0,Rain,226
3/25/2006,12,7,73,1021,13,0,,208
3/26/2006,13,7,66,1019,6,0,,254
3/27/2006,14,7,63,1017,11,0,,207
3/28/2006,11,2,50,1020,14,0,,251
3/29/2006,12,4,62,1020,10,0,Rain,194
3/30/2006,14,9,73,1021,6,0,,184
3/31/2006,13,4,60,1020,6,0,,240
4/1/2006,13,4,55,1018,8,0,,205
4/2/2006,12,5,60,1022,5,0,,241
4/3/2006,13,5,58,1020,6,0,,349
4/4/2006,17,6,55,1011,11,0,,265
4/5/2006,12,7,66,1008,16,0,Rain,214
4/6/2006,13,8,79,1009,10,0,Rain,196
4/7/2006,13,8,71,1014,11,0,,212
4/8/2006,12,7,70,1015,6,0,Fog,202
4/9/2006,13,6,65,1009,6,0,,317
4/10/2006,12,4,59,1012,13,0,,20
4/11/2006,10,-2,44,1019,16,0,,18
4/12/2006,12,2,52,1017,6,0,,15
4/13/2006,13,-1,43,1019,6,0,,3
4/14/2006,13,5,57,1015,10,0,Rain,266
4/15/2006,16,8,69,1015,19,0,Rain,212
4/16/2006,11,7,70,1017,8,0,,273
4/17/2006,12,6,70,1014,10,0,Rain,18
